Category,Value
TICKET COUNTS BY STATUS,
CLOSED_BY_CUSTOMER,1
OPEN,1
,
TICKET COUNTS BY PRIORITY,
MEDIUM,2
,
TICKET COUNTS BY CATEGORY,
OTHER,1
SOFTWARE,1
,
